text,labels
"Following the registration , the share capital of Biotie is EUR 52,556,678.10 .",0
Workers at Bajaj Auto have agreed to a 10% wage cut for the period between April 15 and till the lockdown is lifted. https://t.co/RgvrKPliNd,1
Prices and delivery volumes of broadband products decreased significantly in 2005 .,-1
A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .,1
"The company 's goal is to achieve annual savings of EUR 2 million ( USD 2.7 m ) , of which two thirds are to be realized in 2010 .",1
AMZN FB your pick for higher prices this week. Both breaking out with considerable volume.,1
BAC and AAP my two trades from yesterday are holding up really well. Both trading with HIGH volume in a weak tape.,1
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process .,0
Bosse added that Trygvesta does not have the financial strength to acquire the entire unit .,-1
"BAC Big Boy, Buy Big Block under... on 2 ;-)",1
"Sensex closes 310 points lower, Nifty at 8,925 as markets extend losses to second straight day #Sensex #Nifty #MarketUpdates",-1
"Cost cutting measures , which have produced around EUR70m of savings over the past nine months , have dampened the airline 's loss , Finnair said .",1
RT @DKellerCMT: Can't be too negative on stocks until I see cumulative advance-declines breaking support then making a lower low.  Teasing…,-1
aapl symmetrical triangle on 5 min looking for topside breakout  ,1
AAP closed the day with a Doji,1
"RT @MMeatloaf7: CHINA TELLS STATE FIRMS TO HALT PURCHASES OF MAJOR U.S. FARM PRODUCTS

$spy $spx",-1
"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier .",-1
MWIV looking to go higher.,1
AAP The only thing you should ask yourself; is today the day to buy those Feb 480 puts...,-1
"The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , has received expansion orders worth a total US$ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders .",1
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",1
"With consumers worried about keeping their homes, a car dealer is spurring sales by making their mortgage payments. https://t.co/8OwvlffCHM",-1
"The share capital of Alma Media Corporation business ID 1944757-4 is EUR 44,767,513.80 and it is divided into 74,612,523 shares .",0
GEOY Should be trading at: 41.09 as each share worth 1.425 shares of DGI (28.84) x 1.425 = 41.09:  ,1
"RT @_SeanDavid: Interesting New Facebook Patent: $FB

Allowing general users to turn photos into ads. 

ie. Users would now monetize their…",1
"Green Weekly & Monthly Triangle on PAB,....pdating  ",-1
"Vanhanen said the strike would be `` extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one-day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki .",-1
BAC MarketMaket will make lot of  from Short Seller Today till March 7 IMO,1
"According to the company , staff will be laid off temporarily when necessary .",-1
"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te",1
This resulted in improved sales figures in Sweden .,1
Talked about this possibility a few months ago AAP QQQ NDX   ,-1
CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,0
"COMPQ on a mission to 52 Week Highs...With,...or Without... AAP. Juuuuust aaaanooootherrrrrr 1.35%. You can do it!!! ES_F",1
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",1
Why would anyone buy AX's overpriced services when there are many more high-quality alternatives that essentially cost half the price?,-1
"This is AAP's 9th consecutive day under the 2003 trendline. When a multi-year trend breaks, be short or be long gone.",-1
"AUSTIN , Texas , Sept. 6 -- Texas Department Of Transportation awards contract for Teleste Video Compression and Distribution Equipment .",1
"GOOG short, moving slower than I expected, covered a little more here around 807.50, 809.20 stop now",-1
AF:  As noted - Clear buyable action on Tues. Close +3.9% for the first week. Support now near 51. MOE HEE  ,1
@bgrahamdisciple I’m sure $amzn stopped paying rent when ever things got tight.,-1
"VA - ong  43.07. Trailing Stop  58.98 from 11 Stops of 54.53, 52.45, 48.05, 47.32, 46.71, ... 41.32 & 39.57 -  ",1
this could be the last good chance to short AMZN,-1
VXY Added some AAP Mar Bull Straddle for EOD squeeze,-1
AAP in some lotto 500 calls for next week!,1
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",1
"FIO No onger A High Flier, But Is The ong-Term Story Intact?  ",1
SD thx user - daily   ,1
$FB Delta expiration 05/01/2020 #maxpain #options https://t.co/bDhWihGdXA https://t.co/kdT3d7LjyS,0
The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors .,0
"Commentary on AGNC. DDD. ZNGA, HX, AGNC, BSX, VT  ",1
"AAP it is funny listen to you ppl who play one side of the mrkt and expect to make , when you play against ppl who make  both ways",1
"Green Weekly & Monthly Triangle on FWS,....pdating to Monthly  ",-1
"YIT acquired investment rights to a 10,000 square metre residential project in Yaroslavl and to a 16,400 square metre project in Moscow .",0
"DNDN: nice vol expansion friday, and may be worth watching for a few bucks.  ",1
"user: AAP Broke 435 and held above 437 which should lead higher  Since the slide began, the high days have been Tue, lows Fri",1
"RT @dariansharris: $ES_F $SPX $SPY

📈 Solid day. Was able to wait out most of the chop with a little patience. Was looking for 3128-3130 fo…",1
"RT @joannechiuhk: The economy has almost certainly entered a recession affecting most of the world, with a severity unmatched by anything eâ€¦",-1
"HELSINKI AFX - Cargotec said it has bought a 95 pct stake in Indital Construction Machinery Ltd , a Bangalore-based company that makes fork lift trucks and mobile cranes , for an undisclosed sum .",0
"The Economic Development and Trade Ministry and Industry and Energy Ministry , along with the Kostroma regional administration and the Russian Lumberman and Timber Exporters Union , has been carrying out work to acquire investment for the construction of a pulp and paper mill in Neya since 2003 .",0
TAB user alexcampbello This is what the street sees and hence lower she goes  ,-1
AAP 500 lot bid in the  Feb 440P at 3.00 could create resistance or a temporary sell off,-1
"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .",1
fio bouncing some this morning (25% short interest) Still nothing but air till 17.90s  ,-1
The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,1
"Green Weekly Triangle on HEO,.....Third Scaling and Closed  ",-1
15/16 stocks on Watchlist higher- Hope ur listenin  F KBH GPX SSQ SBX CSOD HD CHK EBAY TEX I ITG ,1
The bridge will be 1.2 km long and is located between Anasmotet by the road E20 and the new traffic junction in Marieholm by the road E45 .,0
"RBI Governor Shaktikanta Das starts Press Conference, his second press briefing since the COVID-19 outbreak",1
"SCM Very very slow, some holders should start selling off real soon IMO",-1
Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .,1
"The repo rate will gradually reach 2 % at the end of 2010 , according to Nordea 's Economic Outlook .",0
"( ADPnews ) - Nov 9 , 2009 - Four companies have agreed to buy for a combined SEK 5.9 billion ( USD 854m-EUR 571.8 m ) all drug stores offered for sale as part of the restructuring of Swedish stated-owned pharmacy monopoly Apoteket AB , t",1
The first stage of the contract covers 133 stores and 600 cash registers .,0
RT @DaveCBenoit: The banking system is not built for everyone in the whole country wondering if they got a government check on the same dayâ€¦,-1
The GyPSii mobile social networking application is available in China with both Chinese and English language support .,0
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,0
JNP - added,1
"Liquidity adjustment facility reverse repo rate reduced by 25 basis points to 3.75%, says RBI Governor",-1
No changes regarding the Virala Oy Ab s ownership of shares of Tiimari has taken place .,0
BAC I told last week for peoples that are not in the trade..Next Entry 11.65 On HIGH Volume IMO !,1
Financial details were not disclosed .,0
" Holding horz support, BB squeeze, rising vol. watching to clear 200 sma 68.33  ",1
I showed this MA on Friday with the upside orange dot traget at 517+ hit that this morn now red dot  ,-1
RT @ETFsDayTrade: This is a brief summary of our math Model for $DJIA $SPX today for you to compare va real-time. And see our previous post…,0
GEVO 2.25 Target Short un Price Action.,1
Actions and opinions in a market are influenced by that. BTC is behaving like a risk asset at the moment and we can see that in the chart and in the correlation with the SP500.,-1
The oil shale feeder-supply solution will deliver crushed oil shale to the shale oil refinery already in operation as well as to the novel Enefit-280 shale oil technology processing plant .,0
"Weber convinced his friend Ray Ostrom , who owned a Lake Street sporting goods store , to sell the lures .",0
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",0
It inspects the companys strategic strengths and weaknesses .,0
BAC Big Volume Today = Big Boy Involved = I'm IN too ! ! = ,1
"Green Weekly Triangle on HEO,.....Open Today Scaling  ",-1
Executives at firms like Goldman Sachs and JPMorgan had to balance the opportunity for trading profits with the safâ€¦ https://t.co/WSU305BtPw,1
RL-Nordic is a part of Raiffeisen-Banking-Group Austria and is a subsidiary to Raiffeisen-Leasing GmbH in Austria .,0
SHOT JPM  49.92 stop  50.03.,-1
$AAPL took some 1/2 at 1.0. https://t.co/KnPX23IWoF,0
If VHC breaks the support level at 21.68 then it could bring 21 area. No reasons to buy yet.  ,-1
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",-1
Dow gains more than 770 points on hopes the economy will recover from coronavirus https://t.co/LoiMexyjZI,1
FCFS easy look at last 4 Q's income data:  ,1
"According shipping company Viking Line , the EU decision will have a significant financial impact .",0
"In it's own secular #bull market COO #The Cooper Companies, Inc. Bull Flag Daily included #dogs  ",1
Imagine reading up on $Oil $AAPL $EURUSD concurrently on the same platform! https://t.co/Ut05pyrbV8 https://t.co/Uk8I33EbID,0
VTS there we go!  A great end of day pop in the last 30 mins on 90k volume! ooking for a little bit more tomorrow -  ,1
AAP iphone watch like this..  ,1
`` Our research shows that access to information technology has been one of the limiting factors for most small businesses especially when they work in a heterogenous network based environment .,0
Market Wrap Video + Additions to Watch ist  including: CAH CMI HA KAC NFX,1
"BAC No selling Target, Will sellwillit stop to move up. Will Just raise my Stop Step by Step till it will be triggered !",1
"Cargotec 's share capital after the increase totals EUR 64,299,180 .",0
About Stonesoft Corporation Stonesoft Corporation ( OMX : SFT1V ) is an innovative provider of integrated network security solutions to secure the information flow of distributed organizations .,0
To see a slide show of all the newest product releases from Fiskars .,0
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",1
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,-1
"The Liquid Handling segment offers laboratory equipment and accessories , including mechanical and electronic pipettes , and disposable tips used in the research institutions , universities , and hospitals , as well as in the pharmaceutical , food , and other industries under the Biohit brand .",0
Finnish forest machinery manufacturer Ponsse has issued a profit warning .,-1
"CXW this stock is so underowned and played, nice breakout setting up here  ",1
"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",0
CAT 82 looks very possible imo....  ,-1
FIO ong! & Add! Q2 2013 earnings of 0.13 per share on Jan-30-2013. This beat the 0.08 consensus of the 19 analysts covering the company.,1
Pharmaceuticals - Italy This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Italy .,0
AAP so according to this article Apple has some work to do. Definitely sounds like they are a step ahead.  ,-1
"Solvay S.A. has engaged Poyry to provide project management , engineering , procurement , and site services for a hydrogen peroxide production plant to be built by a Solvay-BASF joint venture at BASF 's Zandvliet site , Belgium .",0
"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 .",1
CSN did not catch the bottom but bought some on weird dip - hope that manipulation means good things to come,1
The first major national election of the coronavirus era offers new avenues to reform Korea Inc. https://t.co/OkGnUj3AY2,1
"annoyed with BBG steadily going up, i want to grab more",1
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .,-1
GOOG holding up well,1
GM looks like a break of the 3 month trend line here at 28.40,1
The results will enable the preparation of a conceptual plant design and capital estimates .,0
"Also , it is bringing in `` the right kind of people '' to upgrade its human resources .",1
"However , the total orders received will still be above last year s levels .",1
Hot osers FNS TSX INTC AMN JDS,-1
"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China .",0
Basware Einvoices Oy will be merged into the parent company during the present fiscal period .,0
"The Group 's business sectors are Building Construction , Infrastructure Construction , Technical Building Services , and Building Products .",0
GPN Groupon Bear bets on over 20% down move by March 1st buying 5K Puts  ,-1
"$HHT up 25% in 2 days

#stocks #OnlineClasses  $BOXL $LRN https://t.co/4mtdDPCoUh",1
"DN MTG, anyone thinking of shorting these names?  These 2, specifically, DN seems to have a history of huge spikes up and then collapses",-1
user T3ive A looks very strong for a breakout play.,1
"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .",-1
"There has been some recovery of the base metals prices and increased demand for metals in China , however .",1
Synergy benefits will start to materialise in the second quarter .,1
"Together , Yahoo and Nokia said they will continue to deliver Internet experiences that address the core needs of consumers , developers , operators and advertisers .",0
MTG still holding short from 5.70's I think we will see low 4's by tomorrow,-1
"Market Fall Significantly Lower Than Global Peers, Says Regulator Sebi
https://t.co/MIiLONrbbV",-1
"MCP don't catch that knife, if you think it will survive define risk buy some January 2015 EAP option and forget about it till then...",-1
"user: why curse GOOG by raising target to 1,k? (currentlyAAP is trading at 1200 FYI)    stock price = dick size (or lack of)",1
TWI like this long 24% short...  ,1
"Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden .",1
services supplier Efore Plc to streamline operations in Finland and the US Finnish electronic systems and services supplier Efore Plc ( OMX Helsinki : EFO1V ) said on Tuesday ( 3 February ) that it has initiated statutory negotiations regarding a streamlining of its operations in Finland .,1
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,1
"SV GD PA NGT FCX NEM AY - Gold prices traded steady, focus on dollar  ",-1
"CAT looks to be bottoming, but it also has not moved much off its lows with recent strength. If it breaks 89 to downside, its good short",-1
Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % .,0
The most significant challengers in the market are Logset and Sampo-Rosenlew .,0
"In China , Finnish Kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time .",1
GNC  generators running hot   ,1
@omgwtf2011 @BearingtonTrade $T made their dollar back 🤣🤣🤣🤣 https://t.co/wmKK5XErq0,1
user: user: AAP can jump 50 in nano seconds after E if they beat Sure but that is Skynet trading with itself,1
YHOO setting up for it's new 2013 range 22- 30 - move starts this week,1
I need alka seltzer to sponsor our aapl stream with all the pop and drops it gives people ...people are just way too tied to it,1
"NTSP is the laggard in the #13for2013 portfolio, down 2.03% for the year (closing in on 50-d ma)   ",1
One of the enduring changes from the pandemic could be a major reassessment of the complex global supply chains forâ€¦ https://t.co/kWL9GcJQdS,-1
BAC Will go to 12 imho,-1
"On June 30th the Macrohedged | Market Microstructure module is released into the course. 

Unlock the knowledge on how the market is glued together. 

You need to own the course to access this module:
https://t.co/EVLGM1qYXK
#ES_F #CL_F #NQ_F $GOLD #OOTT #OATT $SPY $SPX #Trading https://t.co/6oLvvdFpDD",0
NFX Keep in mind that 500 lot offered in the 150P at 7.75. Stock was at 163.70 when he offered now at 167 ook for him if stock goes dwn,1
Watching GS closely on today's trend-line. Has been leading SPY up AND down.,-1
"user: user: AAP worried about Apple's breakout volume?it's average, should we be worried? Skynet reaching for the pin 359",1
"The purchase of sites worth 300 million in the Thames Gateway will provide more than 1,200 homes .",0
"Wells Fargo has faced restrictions on its balance sheet growth for more than two years, the result of widespread coâ€¦ https://t.co/QBnn2nDL2u",-1
"Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .",0
PAB has resistance from June to Sept but Over 6.21 to start a trade   ,1
"MTG Major resistance at 2.80 which is Fib level and 20 day MA. if you are long, good luck.  ",-1
"RT @JackChappleSci: China Is Buying Up The World's Ports...And No One Is Talking About It
https://t.co/h8vvMo2tLT

#china #business #longbe…",1
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,1
"RT @merryjoportell: #BreakingNews
Israeli Hospital to Begin Treating #Coronavirus Patients with Cannabis.

#COVID19 #COVID2019 #cdc #Chines…",0
"RT @MauriceOnTW: $RHHBY ($ONCE)

Updated Data on SPK-8011 from Phase 1/2 Clinical Trial in Hemophilia A at #ISTH2020
https://t.co/HuRwNWktD…",0
FOS took 40% of short off here,-1
"CAT Failed at the 200 day MA, watch for the Trap Door to open imo!",-1
@NickDeMiro @Gambiste1 @ShitFund $KO should and will see an ESG driven activist campaign in the next five years; Jeff Uber has said as much.,0
The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,0
BA sold 1/3 earlier off my post from the other evening. Starter in GMED. like the setup and the recent eps. Acts right and I will add,1
EQIX EXPE FB GS HOG MON PII QCOM QIH SODA Some ideas for next week.  Favorite setup is EQIX  ,1
"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .",-1
The company 's market share is continued to increase further .,1
YGE opening range is in. Feet up. FS JASO X and BD similar trades.   ,1
"The segments through which the company operates are Frozen Food business , Seafoods , Vegetable Oil business , Grain Trading and Other business operations .",0
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",-1
Halliburton having a monster day. The Evil Empire wins again. HA,1
GNTX Swing Trade Quick Pick: Gentex Corp (GNTX) |   ,1
New Sony pre-owned block tech patent unearthed SNE ... 50% of GME profits from pre owned ..last one out turn off the lights,-1
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,1
"TWC on the way to potential breakout over 99 channel. Tgt 100, 102. Wht u think user   ",1
Alcoa $AA PT Lowered to $14.00 at JPMorgan Chase &amp; Co. https://t.co/gVyp4WTFK4 #stocks,-1
Dennyâ€™s Franchisee Dawn Lafreeda has had to close most of her restaurants and furlough staff; â€˜Itâ€™s heartbreakingâ€™ https://t.co/oqTkpajAav,-1
"user: who wants to buy NFX for 200 a share? Why should AAP and FB? NFX's big problem is no cash, AAP could fix that bigtime",1
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",0
RT @wallstreetelix5: Here comes the breach of yesterday’s high. About time. Not a top.... $es $ES_F $spy $spx,-1
"Gold equities present “an island of value against a backdrop of trouble”, Sprott Asset Management senior portfolio manager John Hathaway says.

#GOLD #stocks #equities #markets #investing
https://t.co/rlTN3s2WQl",1
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",0
"The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009 .",1
Philips was not available to comment on the report .,0
For the past 8 years GOOG booked an avg return of -6.5% during Jan to Mar option expiration. It has posted positive returns for 2/8 years,-1
"The total service concept also includes technology services , with which Raute supports its customers throughout the entire life cycle of their investments .",0
user: AAP is WEAK.. wants lower. Tmrw will be nasty folks. Sideline if ya long.. Bears taking over.,-1
FSC goes ex-dividend tomorrow paying monthly 0.0958 per share with next payment on Jan. 31st with 10.60% yield,1
"The outsourcing agreement , which covers equipment and depots in Turku and Tampere , will run for five years , Cramo said on Thursday .",0
"FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily .",0
"Green Weekly Triangle on PBY,....pdating  ",-1
EBAY ebaynow was dead on arrival and the company itself is leveraged a lot.,-1
These share transactions are part of the company 's strategy of relinquishing assets that are not part of its core business .,0
"RT @ETFProfessor: While long-term government yields continue to fall in the United States, yields in other heavily COVID-affected areas hav…",1
ACX Today's P reads very positive.Would like to see the stock back at highs by month-end. More results coming. XV BBH,1
"CMG While traveling through Kalamazoo, MI on Friday at 6:00, the place was empty. This is the growth hopes for the company. eshorted  325",-1
Earnings per share EPS amounted to EUR0 .01 .,0
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,1
ENOC trying to get over 17,1
AJ stopped out +6% for a nice gain  ,1
wow TV is underrated and underloved....looking at stock prices I am sick that I missed this hate trade in 2009 .. CBS DIS,1
"Furthermore , Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands .",1
GOOG lower trendline adjusted  ,1
7 1/2 Weeks https://t.co/4ndC4oguzJ $SPX $SPY #ES_F,0
Estonia 's beer market overall grew three percent last year to 130 million liters .,1
APP catalyst: 1. efi 2. Deals with WMT TGT  A NKE (possible) 3. 100s new stores globally,1
user: long a few NFX 100 calls at .27 expire tomorrow out at .40 +48% no need to be greedy with them expiring tomorrow,1
"However , the bottom-line result improved thanks to positive financial items .",1
RT @StockBoardAsset: On day one of official recession - SPX500 attempting to close gap near record high https://t.co/srIG9ibdRV,-1
$NQ $ES_F softer but still green. Would prefer green open as gap down on $SPX would open up possibility of a gap fill higher. Watching $SPX 5EMA downside support and the gap fill higher at 2912 resistance. Also intrigued by 5 month EMA 2898 which is also yesterday's HOD.,1
`` The lowering of prices by us and by our competitors shows that the real estate market has stabilised and returned into balance and apartments are acquiring a fair price in the eyes of our clients .,1
user: NFX ising wedge. Normally bearish. Close below 94 confirms.   >  nice one,-1
"$ES_F Needs to trade $90s+ or $2640-$2650 on deck today 

$SPY $SPX https://t.co/zTkybafvh6",0
"The store is located in Poznan in a shopping center named Pestka , the company added .",0
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,1
He will report to CapMan Plc 's CEO Heikki Westerlund .,0
VSN pulling out of the station,1
"AAP once you have the smartphone-mini you can ad as many APPS you want , because you wear it, not stuffed in pocket.. think SII v/comand",1
OS stock very close to magic number 7 and holding see stabilization over 7.00 it will retest 7.50 break point - really like this one,1
AAP might close at the lows of the day. Bears will be in control again below the descending trendline. Watch it.,-1
AAP traps works better with a QICK SNAP!. dead bulls and bears IMHO,1
ooking for this to catch up to other Nat. Gas producers like NG Bought Feb. 18 calls CHK   ,1
user jmixer I will wait for 0.57 to re-charge again my weapon against INO,-1
"Sensex, Nifty Log Best Day Since 2009 On $2-Trillion US Stimulus Package
https://t.co/CY1Dxf8CRG",1
"According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn .",0
"RT @iflickerman: ""All Free"" Retail is Back, Amazon $AMZN ready for Chapter 11 🤣🤣🤣 @JuliaLaRoche https://t.co/t4S8BD3REg",1
A comprehensive range of cut-to-length and slitting services will allow Ruukki in particular to serve light engineering customers who relocate their production to the St. Petersburg area .,0
"Secure your files online Like filling out a tax return , making a backup is boring .",0
"Government May Act Out Of Fear, Hold Back In COVID Fight: Rajiv Bajaj
https://t.co/hJ0dxsJ0cR",-1
AAP climb 525ish then took a small step backward - wedge forming. Breakout is imminent.,-1
"GID reached my 1st tgt, 46.75 nxt",1
well MCP top short from 11 to zero still in play same goes with VXY from 12 and TVIX from 6 all three will evaporate to nothing,-1
user 3DTradingtrader I do have 3.1Mio to expend and race up any offer for DEPO,-1
"NKD 3 down days in last 4, going to wear off the overbought while giving back nothing, amazing  ",1
